Epoch:100/5000 Loss:0.7313715219497681
Epoch:200/5000 Loss:0.6548442244529724
Epoch:300/5000 Loss:0.6375988721847534
Epoch:400/5000 Loss:0.6134425401687622
Epoch:500/5000 Loss:0.6005577445030212
Epoch:600/5000 Loss:0.5907833576202393
Epoch:700/5000 Loss:0.5728663802146912
Epoch:800/5000 Loss:0.5301299095153809
Epoch:900/5000 Loss:0.518730103969574
Epoch:1000/5000 Loss:0.5012533068656921
Epoch:1100/5000 Loss:0.46943965554237366
Epoch:1200/5000 Loss:0.48408329486846924
Epoch:1300/5000 Loss:0.45169684290885925
Epoch:1400/5000 Loss:0.4592357277870178
Epoch:1500/5000 Loss:0.4517279863357544
Epoch:1600/5000 Loss:0.43771007657051086
Epoch:1700/5000 Loss:0.4449528753757477
Epoch:1800/5000 Loss:0.43494459986686707
Epoch:1900/5000 Loss:0.4396582841873169
Epoch:2000/5000 Loss:0.4294813275337219
Epoch:2100/5000 Loss:0.42323875427246094
Epoch:2200/5000 Loss:0.4365156590938568
Epoch:2300/5000 Loss:0.4257243871688843
Epoch:2400/5000 Loss:0.4176357388496399
Epoch:2500/5000 Loss:0.4060305058956146
Epoch:2600/5000 Loss:0.39934760332107544
Epoch:2700/5000 Loss:0.4031899571418762
Epoch:2800/5000 Loss:0.41330501437187195
Epoch:2900/5000 Loss:0.4094993472099304
Epoch:3000/5000 Loss:0.3979550302028656
Epoch:3100/5000 Loss:0.4047343134880066
Epoch:3200/5000 Loss:0.4007449746131897
Epoch:3300/5000 Loss:0.39824336767196655
Epoch:3400/5000 Loss:0.39881908893585205
Epoch:3500/5000 Loss:0.3972437381744385
Epoch:3600/5000 Loss:0.39164942502975464
Epoch:3700/5000 Loss:0.38351139426231384
Epoch:3800/5000 Loss:0.3881185054779053
Epoch:3900/5000 Loss:0.3870289623737335
Epoch:4000/5000 Loss:0.38338905572891235
Epoch:4100/5000 Loss:0.38133713603019714
Epoch:4200/5000 Loss:0.38445064425468445
Epoch:4300/5000 Loss:0.38630038499832153
Epoch:4400/5000 Loss:0.3914424777030945
Epoch:4500/5000 Loss:0.383750319480896
Epoch:4600/5000 Loss:0.3906012773513794
Epoch:4700/5000 Loss:0.38124901056289673
Epoch:4800/5000 Loss:0.4107944965362549
Epoch:4900/5000 Loss:0.3794355094432831
Epoch:5000/5000 Loss:0.37303322553634644
Accuracy: 83.875
Accuracy: 79.12087912087912
